==========================================================================================
  Bezetting Check Report
==========================================================================================
  Totaal records                  : 19554
  Records met parsebare bezetting : 3363
  Vergeleken met RDW              : 1432
  RDW data ontbreekt              : 1931
  Onjuist geformatteerde bezetting: 0
  Buiten range (1-12)             : 0
  Bezetting != RDW zitplaatsen    : 255
  Bezetting > RDW zitplaatsen     : 152
  RDW zitplaatsen > bezetting     : 103

------------------------------------------------------------------------------------------
  Verdeling bezetting
------------------------------------------------------------------------------------------
   1 personen : 11
   2 personen : 149
   3 personen : 43
   4 personen : 108
   5 personen : 789
   6 personen : 262
   7 personen : 1091
   8 personen : 407
   9 personen : 496
  10 personen : 6
  11 personen : 1

------------------------------------------------------------------------------------------
  Onjuist geformatteerde bezetting
------------------------------------------------------------------------------------------
  (geen)

------------------------------------------------------------------------------------------
  Buiten range (1-12)
------------------------------------------------------------------------------------------
  (geen)

------------------------------------------------------------------------------------------
  Verschil: bezetting hoger dan RDW zitplaatsen
------------------------------------------------------------------------------------------
  Roepnummer   | Kenteken   | Bezetting |           RDW
  06-8203      | V-93-NNT   |         7 |             3
  07-1001      | PX-067-Z   |         9 |             8
  07-3601      | XP-260-F   |         9 |             8
  07-4780      | PX-068-Z   |         9 |             8
  08-0006      | V-14-NRK   |         6 |             3
  08-9008      | 9-SHR-13   |         5 |             4
  08-9009      | 9-SHR-10   |         5 |             4
  08-9037      | BT-BZ-81   |         8 |             7
  08-4005      | 63-ZLV-2   |         5 |             4
  08-6003      | 62-ZLV-2   |         5 |             4
  08-7131      | 83-BKR-6   |         9 |             7
  08-8001      | NS-795-Z   |         9 |             8
  08-8581      | V-75-NGR   |         9 |             5
  09-0301      | 99-HTR-2   |         9 |             8
  09-1034      | 67-BLK-1   |         7 |             6
  09-1901      | 58-HDZ-8   |         9 |             5
  09-2101      | 78-HXR-3   |         9 |             7
  09-2244      | 36-BJX-4   |         5 |             2
  09-3601      | 00-HTR-3   |         9 |             8
  09-4201      | 5-VVR-23   |         9 |             6
  09-8631      | BZ-VJ-16   |         8 |             7
  09-9088      | VN-942-X   |         6 |             5
  09-4701      | 8-ZRL-07   |         9 |             8
  09-6431      | BV-RN-42   |         8 |             7
  10-6936      | BX-PT-49   |         8 |             7
  10-6937      | BX-TT-54   |         8 |             7
  10-4701      | JT-184-G   |         9 |             8
  10-4731      | 13-BLK-1   |         8 |             7
  10-4831      | 69-BPG-7   |         8 |             7
  10-4833      | 68-BPG-7   |         8 |             7
  10-6932      | BX-BT-02   |         8 |             7
